fdas,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
                          절 단  및  압 착 (Cut and Crimp),,,,,,,,,,,㈜세림전자 (SerimElectronics),,,,,,,,,,
,,,,,,,,,,,양식No,SLQD-250406,,,,,,,,,
제품(PRODUCT),얼음정수기,,PJT,,,RWP90H,,,,,CODE,DA96-01767C,,,,,,,,,
"개정 내용
(Revised content)",NO,"일 자
(Date)","내  용
(Content)",,,,,"작성
(DESIGN)","검토
(CHECK)","승인
(APPROV)","비      고
(Bignoran)",,,,,,,,,,
,1,,fads,,,,,오민상,,김준범,,,,,,,,,,,
,2,2025-10-01,"제빙기, 디스펜서 JOINT 전선 길이 단축",,,,,오민상,,김준범,,,,,,,,,,,
,3,2025-10-02,"제빙기, 디스펜서 STEP VALVE JOINT 전선 길이 변경",,,,,오민상,,김준범,,,,,,,,,,,
,4,2025-10-27,"하우징 사양, 전선 길이 변경, 68번 전선 추가",,,,,오민상,,김준범,,,,,,,,,,,
,5,2025-11-12,"54,55번전선 삭제, 52번 전선 핀맵 위치 변경",,,,,오민상,,김준범,,,,,,,,,,,
,6,2025-11-27,"제빙기 커넥터 사양 변경, 전선 길이, 정형 변경",,,,,오민상,,김준범,,,,,,,,,,,
,7,2026-01-21,"커넥터 변경(연호 --> KET), 전선 길이 변경, PVC 튜브 추가",,,,,오민상,,김준범,,,,,,,,,,,
,8,2026-03-09,"제빙기, 디스펜서 조인트 길이 단축",,,,,오민상,,김준범,,,,,,,,,,,
